,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (),WS (m/s),WD (degree),SR (W/mt2),RF (mm)
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,32.18,61.49,15.06,4.99,19.68,10.37,7.16,0.55,20.39,13.22,72.39,0.88,221.29,150.25,0.0
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,43.25,88.25,10.6,9.37,19.5,8.76,10.83,0.6,16.98,8.07,71.48,0.78,189.03,142.81,0.0
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,15.78,30.94,9.48,7.76,17.11,6.68,4.4,0.41,9.41,2.03,76.25,1.13,208.67,161.07,0.0
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,35.14,67.67,9.23,5.69,14.86,4.17,5.6,0.71,6.51,6.06,66.45,0.73,169.77,154.71,0.0
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,53.68,97.92,9.66,6.62,14.75,4.24,5.54,0.68,6.59,10.24,79.26,0.83,134.77,128.14,0.48
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,44.0,75.27,8.77,5.59,14.3,3.36,4.52,0.57,19.55,5.73,76.85,0.74,151.68,172.17,0.02
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,38.21,67.71,,,,,2.22,0.5,12.22,4.37,83.06,0.74,159.07,142.34,0.06
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,34.49,60.38,,,,,1.88,0.42,9.22,2.03,79.6,0.6,144.21,170.89,0.0
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,27.85,55.69,,,,,2.69,0.4,6.16,2.07,86.04,0.63,146.62,197.9,0.04
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,,,,,,,,,,,,,,,
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,,,,,,,,,,,,,,,
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,,,,,,,,,,,,,,,
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,,,,,,,,,,,,,,,
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,,,,,,,,,,,,,,,
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,,,,,,,,,,,,,,,
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,19.67,47.3,10.73,2.44,10.66,2.13,2.44,0.35,13.73,1.85,83.45,0.72,188.01,25.1,0.02
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,20.94,43.96,32.11,12.64,26.63,3.09,2.7,0.44,14.24,4.21,87.31,0.82,191.3,129.72,0.14
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,22.85,41.54,12.65,15.15,27.63,3.52,2.7,0.43,9.08,1.18,87.56,0.54,152.59,147.53,0.12
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,16.32,36.57,17.97,9.21,27.18,4.01,2.76,0.44,6.79,1.04,91.43,0.44,128.7,81.85,0.01
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,23.94,46.49,13.69,12.05,25.74,3.29,2.44,0.54,8.02,1.78,91.56,0.64,144.39,112.1,0.12
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,24.87,52.98,9.3,12.84,22.13,3.23,2.32,0.39,8.33,1.03,90.4,0.7,166.94,111.68,0.01
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,20.97,48.36,10.33,8.41,18.74,5.46,2.8,0.34,7.33,3.16,83.83,1.1,205.46,133.84,0.0
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,18.31,40.5,10.5,8.26,18.77,5.39,1.97,0.36,8.66,3.73,87.11,1.24,210.41,118.0,0.28
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,20.42,45.73,10.9,8.25,19.15,5.48,2.27,0.4,7.25,6.63,93.7,1.37,205.55,80.2,0.05
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,26.97,58.59,10.97,8.38,19.35,5.49,2.98,0.55,12.36,17.02,82.69,2.06,219.3,152.99,0.09
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,24.26,50.65,10.91,8.39,19.3,5.5,2.73,0.5,10.4,12.61,90.35,1.82,205.65,122.83,0.06
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,21.18,39.88,10.6,8.31,18.92,5.35,2.3,0.35,10.38,1.31,94.08,1.49,173.57,93.14,0.33
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,33.64,61.24,10.85,8.38,19.23,5.55,2.78,0.5,8.02,11.52,83.74,1.39,177.0,181.99,0.0
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,23.5,46.7,10.46,8.38,18.84,5.34,2.31,0.39,9.25,3.16,79.58,1.9,216.05,119.3,0.0
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,28.09,54.13,10.62,8.34,18.96,5.35,2.55,0.49,8.07,4.75,88.22,1.79,215.69,100.45,0.02
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,32.65,52.9,10.58,8.25,18.83,5.37,2.43,0.38,6.96,1.3,85.0,0.79,170.19,137.67,0.0
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,17.35,34.27,10.5,8.41,18.92,5.41,3.0,0.32,6.32,0.93,87.26,0.72,162.11,151.09,0.13
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,12.75,28.25,10.63,8.4,19.03,5.61,3.43,0.3,12.97,1.34,98.39,0.76,110.44,38.27,0.05
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,15.98,34.17,10.25,8.72,18.97,5.48,2.6,0.39,6.54,1.31,98.24,0.58,167.78,52.43,0.15
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,22.97,40.57,10.17,9.23,19.4,5.39,2.31,0.42,6.08,1.86,96.41,0.63,166.38,64.03,0.03
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,31.1,54.39,10.19,8.68,18.87,5.47,2.97,0.45,6.43,6.13,92.9,0.62,173.96,101.92,0.19
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,21.85,41.58,10.58,8.22,18.8,5.59,2.66,0.77,5.88,26.1,95.45,0.91,185.29,66.88,0.33
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,23.26,49.56,10.64,8.08,18.72,5.68,2.93,0.39,6.44,8.06,90.23,0.99,185.23,168.09,0.01
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,20.9,39.21,10.4,8.26,18.66,5.66,3.37,0.45,5.73,12.05,96.11,0.71,212.97,66.6,0.11
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,28.48,58.79,10.46,8.12,18.58,5.67,1.89,0.58,7.06,6.39,91.09,0.75,207.93,121.82,0.0
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,21.7,45.31,10.65,7.85,18.5,5.74,2.05,0.58,8.12,20.54,93.55,0.82,180.87,129.0,0.07
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,40.04,71.93,10.74,8.26,18.99,5.87,1.65,0.47,6.7,4.04,90.92,0.57,138.79,124.29,0.0
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,18.23,34.01,10.54,8.3,18.84,5.8,1.99,0.33,9.03,1.21,88.25,0.56,153.65,138.34,0.0
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,11.44,25.49,10.25,8.19,18.45,5.65,2.59,0.31,12.38,0.66,82.92,0.65,170.47,157.46,0.0
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,9.77,19.63,10.17,8.33,18.5,5.63,2.77,0.33,9.44,0.55,82.19,0.65,184.39,142.49,0.0
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,17.42,35.67,10.19,8.29,18.48,5.63,2.87,0.4,9.51,2.64,87.71,0.7,180.35,102.86,0.06
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,19.79,38.0,11.2,8.39,19.6,6.33,3.26,0.46,6.02,12.6,91.42,0.98,189.45,91.14,0.02
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,20.93,43.39,10.4,7.94,18.35,5.74,3.0,0.47,8.71,9.69,89.87,0.91,214.61,91.51,0.03
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,19.19,41.68,10.61,7.78,18.38,5.85,3.63,0.53,8.75,17.23,96.31,0.82,201.63,91.65,0.02
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,23.37,46.79,10.39,7.95,18.36,5.86,2.69,0.46,11.02,16.78,90.21,0.73,201.68,97.69,0.01
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,24.87,46.04,10.34,8.26,18.6,5.96,2.98,0.41,11.47,9.95,97.72,0.66,185.22,45.25,0.11
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,22.65,37.42,10.28,8.08,18.37,5.87,2.96,0.44,11.99,17.73,95.74,0.59,125.74,88.5,0.19
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,33.17,60.83,10.05,8.26,18.31,5.87,3.85,0.45,12.54,5.78,89.12,0.63,199.01,143.4,0.0
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,35.95,61.92,10.09,8.26,18.35,5.85,3.52,0.48,16.07,11.86,85.32,0.66,204.56,167.8,0.01
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,37.62,64.65,10.25,8.04,18.28,5.85,3.08,0.45,17.51,11.48,88.9,0.75,164.26,94.59,0.0
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,33.5,63.78,10.26,8.18,18.44,5.92,2.74,0.4,19.6,8.09,89.93,0.64,154.28,118.25,0.33
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,18.82,34.19,9.93,8.26,18.18,5.76,3.09,0.36,20.06,11.33,88.42,0.7,204.53,140.87,0.02
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,15.65,34.79,10.22,8.13,18.36,5.89,2.98,0.3,15.22,8.2,86.41,0.92,208.29,167.74,0.0
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,22.08,41.96,9.89,5.16,15.04,4.26,2.22,0.36,17.34,3.05,93.07,0.77,105.74,22.16,0.0
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,36.89,61.74,9.73,2.14,11.87,2.59,3.77,0.44,16.77,4.71,88.96,0.65,158.28,131.29,0.01
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,43.46,70.19,9.3,2.43,11.73,2.48,2.92,0.44,19.9,3.44,87.48,0.91,70.01,109.04,0.0
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,43.19,72.55,9.21,2.25,11.46,2.42,2.58,0.38,21.94,10.64,84.28,0.83,128.93,167.16,0.02
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,36.22,65.45,9.38,2.09,11.47,2.5,1.92,0.35,16.18,2.4,91.75,0.83,34.2,115.83,0.43
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,,,,,,,,,,,,,,,
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,25.95,47.46,8.41,7.74,16.14,3.5,2.05,0.46,15.62,2.54,99.24,0.6,162.16,135.5,1.06
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,15.53,29.62,8.16,7.6,15.75,2.92,2.75,0.32,19.85,1.34,90.27,0.6,143.96,407.83,0.18
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,19.87,39.62,8.12,8.17,16.29,2.89,2.72,0.38,22.74,3.79,88.29,0.68,182.82,,0.0
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,26.87,48.5,8.12,8.12,16.25,2.85,2.7,0.35,21.97,1.73,92.38,0.69,168.07,,0.0
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,18.69,36.86,8.53,8.31,16.83,3.36,3.29,0.31,17.14,1.72,91.24,0.72,179.83,,0.0
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,17.38,34.42,9.07,9.84,18.91,4.05,2.96,0.32,17.91,4.49,89.1,0.66,178.75,,0.0
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,23.11,39.46,9.1,9.5,18.59,4.06,3.11,0.41,19.21,3.36,92.87,0.66,149.31,,0.01
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,25.31,53.38,8.89,9.08,17.98,4.0,3.22,0.4,17.45,2.25,93.73,0.51,166.01,,0.12
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,14.25,24.08,9.0,9.58,18.58,4.12,1.91,0.35,14.56,1.42,92.79,0.7,155.08,,0.01
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,10.95,20.31,8.81,9.75,18.58,4.14,2.57,0.27,18.86,1.05,94.01,0.93,130.6,,0.13
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,18.44,35.06,8.81,9.84,18.65,4.06,2.39,0.37,18.9,1.78,96.11,0.39,180.19,,0.0
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,26.52,51.15,8.69,8.77,17.45,3.91,2.46,0.35,19.77,1.81,93.4,0.54,157.47,,0.07
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,32.51,63.29,8.66,8.81,17.53,4.1,2.31,0.4,20.2,1.84,92.19,0.57,129.18,,0.0
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,14.78,31.08,8.65,9.21,17.86,4.12,2.12,0.31,17.83,1.22,92.71,0.81,155.56,,0.03
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,7.23,15.67,8.82,10.1,18.92,4.27,2.34,0.3,17.35,0.84,98.09,0.53,171.17,,0.25
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,10.52,20.61,8.95,10.64,19.58,4.42,2.58,0.33,15.84,1.45,98.99,0.51,169.16,,0.13
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,21.55,37.77,8.84,9.64,18.48,4.33,2.98,0.42,14.91,15.68,95.71,0.64,151.21,,0.05
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,29.28,51.89,9.14,10.81,19.93,4.63,2.85,0.41,13.86,5.98,95.6,0.62,166.56,,0.03
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,32.52,60.26,8.96,9.87,18.84,4.43,2.41,0.45,14.19,4.88,93.09,0.79,89.2,,0.01
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,31.63,60.81,8.81,9.46,18.26,4.39,2.24,0.36,16.09,1.61,92.15,1.25,20.56,,0.02
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,15.35,26.8,8.58,8.94,17.52,4.24,2.24,0.31,17.65,1.22,95.8,1.14,89.72,,0.13
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,12.31,25.33,8.8,9.95,18.75,4.46,2.82,0.31,16.89,1.53,97.79,0.47,169.72,,0.06
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,16.77,28.69,10.24,10.42,20.66,4.59,2.21,0.3,16.49,1.4,89.3,0.63,183.45,,0.01
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,13.83,30.98,13.15,11.8,24.96,5.29,3.15,0.36,20.08,6.09,82.31,1.01,214.65,,0.0
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,19.41,42.18,13.24,12.4,25.62,5.45,5.31,0.51,19.92,27.15,83.93,0.78,216.9,,0.0
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,26.52,75.47,14.06,13.82,27.88,5.93,3.19,0.51,8.45,26.48,93.72,0.48,260.62,,0.0
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,,,,,,,,,,,,,,,
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,,,,,,,,,,,,,,,
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,20.69,41.85,14.81,12.2,27.01,7.01,4.49,0.36,18.67,1.83,80.23,0.62,200.54,,0.0
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,24.1,50.22,15.21,14.95,30.16,7.1,4.8,0.5,14.9,7.96,93.52,0.73,220.5,,0.07
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,28.54,49.69,14.65,14.15,28.8,6.6,2.32,0.41,19.42,4.5,89.38,0.72,215.07,,0.0
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,32.41,67.32,14.12,12.66,26.75,6.06,2.78,0.37,22.02,8.01,86.25,0.72,198.07,,0.0
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,30.55,61.87,14.26,13.07,27.33,6.15,2.74,0.47,21.19,16.18,90.94,0.72,192.42,,0.01
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,30.15,53.08,14.24,12.14,26.38,5.97,2.2,0.42,24.64,11.47,90.43,0.68,166.47,,0.03
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,34.07,64.64,14.29,12.11,26.4,5.84,2.04,0.55,25.5,19.6,94.74,0.63,159.22,,0.02
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,40.06,71.99,14.23,12.2,26.43,5.87,2.01,0.52,23.17,8.15,92.59,0.59,169.26,,0.0
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,39.15,67.36,14.23,13.12,27.35,6.06,2.23,0.41,20.88,2.06,89.75,0.6,189.94,,0.0
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,18.75,39.34,14.32,14.2,28.51,6.32,2.02,0.33,15.03,2.69,90.04,0.77,194.54,,0.0
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,10.46,23.45,14.35,14.96,29.09,6.56,2.05,0.28,23.53,1.83,88.91,0.84,209.35,,0.0
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,13.06,36.91,13.5,11.37,24.87,5.6,2.4,0.28,14.21,2.24,79.71,0.85,208.8,,0.0
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,11.68,41.18,13.77,12.21,25.98,5.9,2.58,0.3,16.14,1.45,84.08,0.95,214.76,,0.0
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,12.73,41.22,14.44,14.98,29.42,6.62,3.47,0.34,14.72,1.6,82.59,0.92,210.92,,0.0
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,23.88,48.77,,,,,5.22,0.41,13.45,4.76,90.8,0.76,182.89,,0.02
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,22.54,48.22,4.17,24.46,28.63,8.63,3.58,0.36,21.99,4.31,95.63,0.62,165.37,,0.14
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,26.33,50.68,5.51,22.46,27.97,10.11,2.77,0.51,18.42,2.16,89.13,0.71,145.1,,0.0
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,40.94,77.03,7.56,17.31,24.86,10.7,2.5,0.43,13.12,2.27,98.53,0.99,55.19,,0.0
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,21.35,46.31,7.07,17.35,24.41,10.28,2.76,0.33,15.78,1.6,93.7,0.5,194.06,,0.02
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,16.09,33.74,7.01,17.81,24.81,10.0,3.28,0.28,19.71,1.9,92.71,0.62,175.16,,0.0
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,11.9,26.86,6.78,18.63,25.41,10.24,2.8,0.19,21.82,0.9,89.69,0.63,176.92,,0.02
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,18.77,40.74,7.08,18.6,25.68,10.21,2.48,0.29,21.11,3.33,89.55,0.88,212.09,,0.02
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,21.17,38.29,7.37,18.16,25.53,10.27,3.85,0.39,22.33,7.72,88.69,0.99,208.27,,0.18
