,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,16.52,36.38,4.51,18.1,13.29,30.29,6.6,0.27,6.43,0.16,3.64,30.16,80.91,3.28,231.92,111.32,0.09,
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,14.04,22.6,4.29,14.56,11.24,37.96,11.25,0.2,7.76,0.75,4.58,30.03,77.51,6.8,132.29,100.0,0.06,
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,8.0,27.0,3.24,13.42,9.78,17.3,8.16,0.18,7.93,0.16,1.03,30.3,77.94,7.79,177.3,84.09,0.01,
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,5.58,12.59,3.32,12.95,9.58,17.16,6.67,0.15,7.3,0.04,0.76,29.94,83.02,7.13,236.98,62.4,0.0,
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,9.51,25.87,2.86,8.03,6.59,12.46,3.12,0.17,7.88,0.02,0.7,30.35,78.52,5.92,241.18,120.0,0.01,
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,8.17,23.87,3.01,9.28,7.39,14.03,5.17,0.12,7.97,0.05,0.66,30.53,77.2,5.23,243.31,109.44,0.11,
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,16.27,46.26,5.67,20.99,15.78,22.94,19.73,0.22,7.13,0.29,5.85,30.37,76.05,6.23,125.31,117.14,0.08,
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,22.01,56.6,6.23,17.04,14.12,45.09,21.05,0.21,7.14,0.61,10.72,29.97,82.14,5.99,63.93,65.21,0.01,
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,22.89,43.04,6.9,19.73,16.11,62.57,15.61,0.2,6.07,0.68,5.77,29.86,89.78,5.51,146.19,40.0,0.06,
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,17.88,32.36,5.9,19.13,14.96,111.49,19.01,0.27,6.88,0.52,8.12,30.12,82.7,5.77,122.21,83.21,0.05,
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,17.94,42.33,5.6,17.2,13.71,46.49,18.1,0.21,6.84,0.33,7.03,30.13,81.99,6.82,125.41,68.02,0.11,
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,14.03,24.85,5.1,20.1,14.85,27.15,14.23,0.15,5.84,0.25,3.69,29.76,92.52,6.06,195.97,28.14,0.05,
