,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,68.27,143.97,3.34,48.57,28.47,24.21,11.59,0.66,23.52,0.49,7.96,30.83,57.65,1.36,98.68,67.9,0.29,
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,63.43,147.98,9.7,52.01,35.54,35.58,11.36,0.9,21.95,0.51,16.87,30.15,62.93,1.96,71.06,92.67,0.62,
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,72.43,141.55,2.71,44.15,25.69,28.52,5.53,0.62,24.28,0.35,4.76,29.98,60.38,1.96,120.08,94.61,0.35,
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,67.95,106.58,1.63,20.03,11.98,23.39,2.91,0.42,23.39,0.21,1.73,30.0,61.59,2.08,104.76,108.21,0.13,
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,79.28,135.95,1.81,26.26,15.41,26.53,4.39,0.57,23.1,0.28,6.02,29.97,65.95,1.41,100.17,97.17,0.17,
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,76.72,117.02,1.59,23.95,14.04,23.55,2.6,0.5,22.66,0.21,2.17,29.96,64.57,1.81,105.06,95.74,0.16,
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,66.61,108.86,1.99,23.93,14.29,21.37,2.55,0.36,21.32,0.18,1.88,30.0,62.31,2.03,96.99,103.03,0.13,
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,54.41,92.38,1.74,21.79,13.0,21.16,3.07,0.45,20.09,0.16,1.26,30.06,66.48,2.02,117.84,101.17,0.1,
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,60.65,115.5,2.19,31.41,18.49,20.19,3.33,0.51,18.99,0.21,2.19,30.36,60.42,2.0,139.95,107.64,0.22,
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,61.08,117.25,4.62,39.78,24.9,18.52,4.26,0.52,18.82,0.22,1.97,30.47,53.79,1.8,142.88,108.52,0.24,
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,62.85,140.7,4.81,41.42,25.94,20.65,6.15,0.47,17.63,0.31,4.04,30.24,55.24,2.01,132.61,104.02,0.28,
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,67.52,134.89,1.86,31.21,18.09,23.33,5.2,0.52,19.03,0.24,4.07,30.14,60.98,1.88,107.54,100.88,0.15,
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,73.88,137.19,2.15,30.86,18.15,24.86,2.92,0.55,19.89,0.21,2.41,30.14,63.57,1.72,102.99,100.79,0.18,
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,60.12,116.53,1.55,18.36,11.02,24.32,3.24,0.47,21.22,0.16,1.27,30.23,56.11,2.12,117.61,138.75,0.07,
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,58.01,107.39,1.89,22.16,13.31,23.17,3.63,0.46,19.56,0.15,1.4,30.64,57.43,2.22,152.65,107.76,0.07,
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,52.74,103.29,1.82,22.2,13.27,21.22,4.01,0.38,18.55,0.13,0.95,30.73,56.85,2.42,142.51,107.93,0.04,
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,62.61,109.95,1.96,22.35,13.46,21.1,2.24,0.41,18.67,0.14,0.97,30.59,61.4,2.27,120.98,100.55,0.06,
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,67.05,115.31,2.2,21.7,13.26,23.47,2.79,0.42,16.61,0.13,0.97,30.52,65.05,2.7,133.18,96.12,0.04,
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,61.29,106.74,1.84,23.65,14.06,20.75,2.21,0.43,15.34,0.16,1.13,30.74,62.33,2.26,145.47,97.57,0.08,
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,66.8,129.4,3.33,32.89,20.18,20.74,2.58,0.52,15.85,0.23,2.86,30.92,62.07,1.61,119.58,84.08,0.12,
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,75.01,136.94,1.59,24.41,14.26,21.61,2.61,0.48,15.51,0.17,3.68,30.66,67.78,2.14,86.86,91.71,0.06,
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,74.66,137.64,1.75,25.32,14.86,22.27,2.95,0.48,14.4,0.18,1.8,30.58,67.5,2.36,82.45,79.52,0.05,
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,59.4,132.36,2.5,34.35,20.28,19.0,5.66,0.47,13.05,0.19,3.2,30.49,56.27,2.51,71.6,111.5,0.12,
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,62.09,140.19,7.68,48.87,32.22,21.93,7.37,0.58,11.96,0.44,10.96,30.62,51.92,2.27,69.0,116.08,0.31,
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,60.28,135.1,5.06,47.22,29.23,22.05,7.32,0.51,12.34,0.32,6.23,30.71,52.14,1.91,86.85,115.21,0.22,
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,52.95,114.03,3.06,31.76,19.31,18.6,4.66,0.42,12.97,0.2,3.3,30.7,49.71,2.09,106.14,111.73,0.12,
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,49.86,116.52,1.59,29.15,16.79,18.53,7.07,0.46,12.53,0.15,1.12,30.52,51.44,2.43,70.57,111.69,0.06,
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,72.03,149.83,1.69,30.13,17.36,23.48,12.46,0.49,13.56,0.1,0.3,30.59,56.81,2.85,46.81,109.4,0.0,
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,55.08,160.95,1.5,28.88,14.93,17.75,23.45,0.48,12.1,0.1,0.3,31.01,47.72,3.22,40.99,120.73,0.0,
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,65.28,140.69,1.82,36.3,22.75,23.36,10.38,0.56,12.8,0.1,0.3,31.19,47.5,1.63,79.94,114.38,0.0,
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,71.79,153.04,6.06,46.17,29.41,25.79,11.01,0.61,11.77,0.1,0.3,31.04,51.29,1.6,102.45,110.18,0.0,
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,59.34,122.04,2.44,33.62,19.8,23.18,5.01,0.49,10.81,0.1,0.3,30.86,53.06,2.14,93.69,115.28,0.0,
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,51.96,112.44,1.97,33.05,19.17,19.5,5.12,0.38,10.04,0.1,0.3,31.01,52.64,2.26,91.18,115.32,0.0,
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,59.73,119.73,2.04,33.69,19.58,19.08,6.48,0.47,9.51,0.1,0.3,30.84,54.35,2.07,89.32,117.79,0.0,
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,52.12,108.94,2.1,31.38,18.28,18.01,5.09,0.39,9.0,0.1,0.3,31.25,51.88,2.14,84.56,117.1,0.0,
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,54.35,129.49,2.2,33.55,19.57,15.98,4.15,0.44,8.8,0.1,0.3,30.98,49.22,2.5,119.46,108.74,0.0,
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,59.06,127.81,2.05,33.57,19.46,15.48,4.13,0.29,7.7,0.1,0.3,31.07,48.75,3.05,103.23,108.71,0.0,
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,54.38,120.35,1.51,24.68,14.23,15.36,3.57,0.22,9.32,0.1,0.3,31.35,49.81,2.64,59.67,106.3,0.0,
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,55.67,123.58,1.51,20.44,12.08,15.14,4.02,0.38,10.04,0.1,1.11,31.24,40.9,3.41,139.4,103.98,0.04,
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,55.17,89.5,1.52,19.66,11.61,22.35,3.13,0.36,9.17,0.13,1.1,29.22,45.47,2.85,201.05,47.88,0.01,
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,59.52,99.54,1.62,25.25,14.75,22.77,6.61,0.47,8.97,0.19,2.03,28.96,65.74,2.6,73.45,102.27,0.06,
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,40.12,68.96,1.59,18.02,10.88,20.58,2.79,0.33,8.83,0.16,1.11,29.28,64.72,2.24,89.78,117.82,0.03,
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,61.83,130.88,5.82,39.83,25.9,22.0,5.35,0.6,8.74,0.29,5.65,29.14,60.75,1.67,99.25,108.86,0.18,
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,64.84,140.86,9.57,51.61,35.03,30.65,10.36,0.54,9.31,0.54,7.65,30.47,54.27,1.63,108.48,126.31,0.26,
309,24-Feb-2021 - 00:00,25-Feb-2021 - 00:00,61.31,129.57,5.61,46.02,28.55,21.2,8.29,0.53,10.99,0.36,5.41,31.53,45.36,1.77,88.49,143.41,0.31,
310,25-Feb-2021 - 00:00,26-Feb-2021 - 00:00,61.24,140.41,5.96,51.43,32.1,16.78,9.01,0.69,7.97,0.32,5.9,29.29,46.34,1.74,105.84,130.57,0.44,
311,26-Feb-2021 - 00:00,27-Feb-2021 - 00:00,65.79,145.42,3.23,49.39,28.89,24.0,15.87,0.59,8.0,0.39,6.05,29.73,44.14,1.99,102.51,125.16,0.27,
312,27-Feb-2021 - 00:00,28-Feb-2021 - 00:00,63.41,150.07,5.37,49.2,30.53,42.45,34.86,0.67,7.3,0.68,16.48,30.2,42.91,2.1,58.09,130.25,0.36,
313,28-Feb-2021 - 00:00,01-Mar-2021 - 00:00,61.72,144.94,11.08,58.14,39.89,40.15,20.08,0.84,6.15,0.66,11.8,30.22,43.57,1.63,94.94,106.99,0.54,
314,01-Mar-2021 - 00:00,02-Mar-2021 - 00:00,62.72,134.01,2.99,39.25,23.31,32.6,14.93,0.53,5.99,0.44,4.37,30.42,46.78,2.11,91.12,99.18,0.29,
315,02-Mar-2021 - 00:00,03-Mar-2021 - 00:00,56.02,127.38,10.7,42.39,31.0,30.15,7.84,0.43,7.91,0.26,3.91,30.61,49.09,1.8,97.97,123.02,0.19,
316,03-Mar-2021 - 00:00,04-Mar-2021 - 00:00,60.62,142.0,5.01,38.93,24.75,26.34,10.22,0.74,4.14,0.32,5.59,28.42,49.31,2.31,53.3,140.41,0.29,
317,04-Mar-2021 - 00:00,05-Mar-2021 - 00:00,61.49,136.79,6.33,43.04,27.94,21.91,10.44,0.62,0.73,0.35,6.54,28.08,44.66,1.72,51.3,140.53,0.33,
318,05-Mar-2021 - 00:00,06-Mar-2021 - 00:00,55.28,123.76,2.09,39.49,22.66,21.09,9.64,0.46,0.76,0.24,3.55,28.69,41.74,1.83,80.08,139.47,0.21,
319,06-Mar-2021 - 00:00,07-Mar-2021 - 00:00,58.29,134.18,2.37,42.3,24.42,19.21,14.15,0.55,0.88,0.25,2.74,29.0,41.64,2.31,71.41,138.12,0.3,
320,07-Mar-2021 - 00:00,08-Mar-2021 - 00:00,62.71,132.52,2.71,43.54,25.3,18.08,6.34,0.49,0.79,0.28,2.48,28.47,43.43,1.77,52.99,136.51,0.35,
321,08-Mar-2021 - 00:00,09-Mar-2021 - 00:00,56.82,124.55,2.45,31.86,18.89,19.93,6.22,0.45,0.78,0.2,1.95,28.39,49.81,2.24,50.21,139.02,0.13,
322,09-Mar-2021 - 00:00,10-Mar-2021 - 00:00,52.64,107.23,2.19,25.0,15.04,22.18,4.6,0.45,0.67,0.14,1.57,28.51,54.03,2.24,69.94,135.58,0.1,
323,10-Mar-2021 - 00:00,11-Mar-2021 - 00:00,52.23,103.7,3.68,30.1,18.96,25.06,4.32,0.59,0.79,0.17,3.18,28.37,55.19,1.9,58.25,139.57,0.16,
324,11-Mar-2021 - 00:00,12-Mar-2021 - 00:00,32.64,79.1,2.88,26.87,16.64,20.95,6.23,0.42,0.77,0.17,2.75,28.28,50.99,2.13,51.35,151.25,0.13,
325,12-Mar-2021 - 00:00,13-Mar-2021 - 00:00,29.29,71.61,1.96,20.48,12.47,21.29,3.24,0.39,0.75,0.12,1.14,28.47,52.58,2.52,49.91,150.38,0.08,
326,13-Mar-2021 - 00:00,14-Mar-2021 - 00:00,32.16,86.49,2.33,29.34,17.47,16.58,4.97,0.42,0.79,0.15,3.96,28.42,44.27,2.27,27.27,161.85,0.26,
327,14-Mar-2021 - 00:00,15-Mar-2021 - 00:00,39.34,89.52,3.56,35.57,21.79,16.09,5.41,0.47,0.73,0.25,2.96,28.46,45.55,2.08,17.49,166.54,0.22,
328,15-Mar-2021 - 00:00,16-Mar-2021 - 00:00,57.02,123.78,4.19,41.68,25.56,18.48,7.01,0.71,0.83,0.29,4.84,28.47,43.81,1.54,48.46,137.65,0.22,
329,16-Mar-2021 - 00:00,17-Mar-2021 - 00:00,57.28,116.15,3.18,35.63,21.51,19.3,4.95,0.56,0.85,0.25,2.73,28.83,46.67,2.12,53.86,127.02,0.19,
330,17-Mar-2021 - 00:00,18-Mar-2021 - 00:00,71.45,135.96,2.88,33.42,20.12,22.53,6.17,0.57,0.8,0.25,3.6,28.36,51.57,1.93,77.36,125.65,0.12,
331,18-Mar-2021 - 00:00,19-Mar-2021 - 00:00,61.27,121.51,1.77,24.62,14.49,21.75,4.53,0.46,0.78,0.16,1.66,28.39,54.64,2.46,70.08,127.81,0.1,
332,19-Mar-2021 - 00:00,20-Mar-2021 - 00:00,59.78,118.47,2.27,27.29,16.28,20.04,6.34,0.36,0.75,0.18,2.96,29.28,47.39,2.09,35.52,127.06,0.11,
333,20-Mar-2021 - 00:00,21-Mar-2021 - 00:00,49.44,98.91,1.54,21.63,12.73,18.03,5.79,0.45,0.71,0.13,1.71,27.91,54.59,2.66,30.94,138.35,0.09,
334,21-Mar-2021 - 00:00,22-Mar-2021 - 00:00,55.39,110.74,1.56,20.88,12.3,17.08,7.5,0.44,0.73,0.17,2.2,28.02,50.68,2.63,32.52,136.49,0.08,
335,22-Mar-2021 - 00:00,23-Mar-2021 - 00:00,80.18,160.34,2.75,36.39,21.49,22.59,15.17,0.75,0.71,0.32,6.71,28.23,51.1,1.68,41.12,108.24,0.12,
336,23-Mar-2021 - 00:00,24-Mar-2021 - 00:00,69.4,145.26,1.49,19.36,11.47,18.69,13.73,0.46,0.65,0.16,2.07,28.18,52.77,3.65,23.61,130.93,0.02,
337,24-Mar-2021 - 00:00,25-Mar-2021 - 00:00,64.86,125.42,1.63,25.63,14.85,18.14,13.19,0.61,0.73,0.17,1.33,28.55,47.83,3.22,32.12,120.23,0.03,
338,25-Mar-2021 - 00:00,26-Mar-2021 - 00:00,72.38,146.94,2.35,41.02,23.71,17.78,15.94,0.55,0.73,0.33,3.64,28.83,44.67,2.31,34.59,126.97,0.14,
339,26-Mar-2021 - 00:00,27-Mar-2021 - 00:00,74.19,153.99,3.34,35.98,21.8,23.05,13.04,0.68,1.19,0.32,13.54,28.86,49.23,1.69,37.53,113.83,0.22,
340,27-Mar-2021 - 00:00,28-Mar-2021 - 00:00,78.46,166.8,2.84,40.76,23.9,25.42,15.72,0.77,0.67,0.45,12.07,29.11,45.25,1.92,34.85,128.96,0.26,
341,28-Mar-2021 - 00:00,29-Mar-2021 - 00:00,69.9,158.92,1.79,34.39,19.66,29.82,13.69,0.51,0.69,0.36,5.97,29.11,44.22,2.14,59.7,134.07,0.52,
342,29-Mar-2021 - 00:00,30-Mar-2021 - 00:00,70.16,152.32,1.52,24.07,14.01,22.1,9.33,0.54,0.58,0.16,1.2,29.03,45.54,2.36,55.36,132.94,0.11,
343,30-Mar-2021 - 00:00,31-Mar-2021 - 00:00,71.92,160.21,1.76,30.75,17.74,27.19,22.35,0.52,0.92,0.48,7.29,29.09,42.96,3.32,53.4,129.1,0.06,
344,31-Mar-2021 - 00:00,01-Apr-2021 - 00:00,58.06,157.56,3.47,39.46,23.72,49.47,46.11,0.7,0.82,0.77,15.84,29.0,35.49,3.14,29.11,147.64,0.19,
345,01-Apr-2021 - 00:00,02-Apr-2021 - 00:00,65.95,174.4,6.04,41.87,27.12,75.22,36.8,0.52,1.1,0.84,11.83,29.28,36.97,3.29,30.88,147.14,0.16,
346,02-Apr-2021 - 00:00,03-Apr-2021 - 00:00,67.41,177.63,7.41,40.65,27.62,45.35,31.65,0.7,1.0,0.64,10.12,28.92,39.27,3.27,28.5,142.68,0.33,
347,03-Apr-2021 - 00:00,04-Apr-2021 - 00:00,68.38,169.76,3.12,38.05,22.68,49.61,31.37,0.57,1.79,0.64,11.23,29.46,37.35,1.9,49.53,136.01,0.27,
348,04-Apr-2021 - 00:00,05-Apr-2021 - 00:00,69.87,165.01,1.72,26.17,14.62,49.31,11.03,0.59,1.01,0.21,2.91,28.77,48.9,2.07,44.5,126.32,0.17,
349,05-Apr-2021 - 00:00,06-Apr-2021 - 00:00,61.81,157.33,3.43,25.29,16.22,49.57,11.85,0.58,0.69,0.27,5.2,28.78,58.55,1.9,64.4,126.74,0.16,
350,06-Apr-2021 - 00:00,07-Apr-2021 - 00:00,60.67,136.74,6.86,20.04,16.16,37.51,4.72,0.58,0.75,0.15,1.25,30.28,56.94,1.91,78.89,117.71,0.09,
351,07-Apr-2021 - 00:00,08-Apr-2021 - 00:00,52.77,129.24,1.91,21.11,12.76,29.71,4.52,0.47,0.66,0.15,1.38,30.94,52.04,1.95,90.7,123.78,0.12,
352,08-Apr-2021 - 00:00,09-Apr-2021 - 00:00,58.03,153.92,2.11,30.78,18.05,24.67,10.8,0.58,0.61,0.22,3.75,30.18,48.19,2.34,81.7,76.27,0.19,
353,09-Apr-2021 - 00:00,10-Apr-2021 - 00:00,57.08,134.46,3.69,28.95,18.36,24.42,6.18,0.4,0.74,0.17,3.01,29.53,53.26,2.14,88.9,109.74,0.15,
354,10-Apr-2021 - 00:00,11-Apr-2021 - 00:00,38.52,104.98,1.75,17.39,10.62,23.69,2.82,0.35,0.86,0.1,0.92,28.87,54.68,2.22,76.32,125.41,0.06,
355,11-Apr-2021 - 00:00,12-Apr-2021 - 00:00,23.93,58.49,1.62,12.65,7.99,22.51,2.36,0.38,0.67,0.1,0.79,28.53,59.45,2.29,60.58,133.8,0.03,
356,12-Apr-2021 - 00:00,13-Apr-2021 - 00:00,44.14,109.44,2.26,24.7,14.94,22.06,3.4,0.43,0.7,0.23,3.29,28.45,57.43,1.85,61.03,95.0,0.12,
357,13-Apr-2021 - 00:00,14-Apr-2021 - 00:00,38.95,83.41,1.66,14.87,9.18,22.85,4.48,0.35,0.63,0.18,2.31,28.78,59.32,2.37,82.98,119.4,0.02,
358,14-Apr-2021 - 00:00,15-Apr-2021 - 00:00,26.73,60.22,1.64,23.82,13.79,26.36,5.5,0.38,1.14,0.14,2.85,29.74,65.0,2.83,89.25,107.23,0.06,
359,15-Apr-2021 - 00:00,16-Apr-2021 - 00:00,34.68,83.03,1.46,23.98,13.8,21.48,5.83,0.43,0.83,0.15,2.24,28.58,58.05,2.63,87.14,147.04,0.09,
360,16-Apr-2021 - 00:00,17-Apr-2021 - 00:00,42.53,109.48,1.46,29.18,16.54,21.97,8.54,0.48,0.87,0.17,2.64,28.76,52.46,2.43,94.74,147.58,0.18,
361,17-Apr-2021 - 00:00,18-Apr-2021 - 00:00,44.22,100.2,1.37,23.95,13.68,21.34,4.17,0.45,0.74,0.14,1.97,28.94,53.41,2.15,89.92,141.74,0.12,
362,18-Apr-2021 - 00:00,19-Apr-2021 - 00:00,55.15,122.99,1.42,32.4,18.03,20.71,4.58,0.52,0.76,0.16,1.7,28.9,50.05,1.86,114.19,124.98,0.26,
363,19-Apr-2021 - 00:00,20-Apr-2021 - 00:00,54.83,136.08,1.65,35.01,19.72,20.67,11.7,0.37,0.75,0.18,1.54,28.6,50.21,2.75,124.22,113.42,0.19,
364,20-Apr-2021 - 00:00,21-Apr-2021 - 00:00,58.49,130.97,1.33,30.7,17.19,20.22,10.21,0.29,0.8,0.2,3.6,29.05,50.31,2.17,83.64,122.39,0.19,
365,21-Apr-2021 - 00:00,22-Apr-2021 - 00:00,48.86,106.53,1.49,20.84,12.1,22.86,6.69,0.44,0.71,0.15,1.9,28.85,56.6,2.08,109.51,130.22,0.1,
