,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,14.11,5.06,3.08,8.04,2.07,0.41,91.72,0.0,0.0,,,,30.0,,0.55,213.49,66.85
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,13.94,4.45,2.72,7.13,4.4,0.38,62.85,0.0,0.04,,,,30.03,,0.5,216.72,108.78
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,13.6,8.39,11.98,20.37,3.92,0.43,82.28,0.0,0.03,,,,30.33,,0.85,220.99,113.62
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,15.76,3.6,16.5,19.94,8.76,0.37,51.65,0.0,0.0,,,,29.91,,0.45,230.06,61.62
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,20.89,4.01,26.42,30.04,7.47,0.51,65.3,0.0,0.14,,,0.07,29.28,,0.53,222.93,55.52
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,6.76,4.0,13.21,17.21,2.66,0.42,70.24,0.0,0.0,,,,29.7,,1.2,304.32,100.69
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,8.83,3.79,7.98,11.67,2.87,0.49,80.24,0.0,0.0,,,,28.1,,0.71,256.96,81.14
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,15.12,4.21,5.03,9.18,3.35,0.46,62.46,0.0,0.0,,,,29.5,,0.59,288.78,57.81
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,17.63,4.26,15.73,19.98,3.21,0.59,77.4,0.0,0.0,,,,30.15,,0.59,278.58,77.14
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,16.02,4.22,12.04,16.25,2.71,0.57,61.82,0.08,0.09,0.1,,,31.31,,0.82,269.1,113.46
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,19.94,3.64,8.08,11.7,4.14,0.44,34.08,0.0,0.0,,,,29.74,,0.68,204.56,114.34
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,13.03,4.24,9.61,13.84,3.08,0.46,34.01,0.0,0.0,,,,29.89,,0.63,218.31,93.82
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,16.9,4.22,11.21,15.44,3.21,0.55,24.97,0.0,0.0,,,,27.73,,0.47,189.53,83.63
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,14.63,4.05,7.62,11.66,3.88,0.5,28.91,0.0,0.0,,,,28.37,,0.48,225.49,116.14
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,11.84,3.99,7.52,11.45,2.51,0.32,28.64,0.0,0.0,,,,29.59,,0.71,212.48,121.41
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,10.13,4.36,8.79,13.15,3.61,0.54,29.33,0.0,0.0,,,,28.07,,0.36,224.35,91.39
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,24.28,5.65,15.33,20.89,3.09,0.55,34.27,0.0,0.0,,,,28.77,,0.37,182.11,45.6
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,25.88,3.79,8.98,12.76,3.19,0.52,34.91,0.1,0.15,0.19,,0.09,28.77,,0.3,218.39,51.36
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,24.01,4.05,10.32,14.34,2.79,0.65,23.48,0.17,0.3,0.25,,,27.97,,0.2,177.21,36.77
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,36.8,9.57,19.45,27.78,6.23,0.56,36.7,0.0,0.0,,,,29.98,,0.37,206.16,88.43
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,26.22,2.54,7.52,9.51,2.84,0.47,25.07,0.11,0.17,0.13,,0.02,29.21,,0.24,190.42,46.16
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,19.84,2.19,2.27,4.41,2.52,0.31,17.98,0.0,0.0,,,,27.53,,0.12,129.45,24.47
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,40.5,2.23,2.31,4.47,3.1,0.31,22.62,0.09,0.14,0.07,,0.04,29.18,,0.51,208.63,89.3
