,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
110,09-Aug-2020 - 00:00,10-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
111,10-Aug-2020 - 00:00,11-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
112,11-Aug-2020 - 00:00,12-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
113,12-Aug-2020 - 00:00,13-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
114,13-Aug-2020 - 00:00,14-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
128,27-Aug-2020 - 00:00,28-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
129,28-Aug-2020 - 00:00,29-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
130,29-Aug-2020 - 00:00,30-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
131,30-Aug-2020 - 00:00,31-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
132,31-Aug-2020 - 00:00,01-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
133,01-Sep-2020 - 00:00,02-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
134,02-Sep-2020 - 00:00,03-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
135,03-Sep-2020 - 00:00,04-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
136,04-Sep-2020 - 00:00,05-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
137,05-Sep-2020 - 00:00,06-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
138,06-Sep-2020 - 00:00,07-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
139,07-Sep-2020 - 00:00,08-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
140,08-Sep-2020 - 00:00,09-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
141,09-Sep-2020 - 00:00,10-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
142,10-Sep-2020 - 00:00,11-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
143,11-Sep-2020 - 00:00,12-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
144,12-Sep-2020 - 00:00,13-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
145,13-Sep-2020 - 00:00,14-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
146,14-Sep-2020 - 00:00,15-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
147,15-Sep-2020 - 00:00,16-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
148,16-Sep-2020 - 00:00,17-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
149,17-Sep-2020 - 00:00,18-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
150,18-Sep-2020 - 00:00,19-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
151,19-Sep-2020 - 00:00,20-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
152,20-Sep-2020 - 00:00,21-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
153,21-Sep-2020 - 00:00,22-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
154,22-Sep-2020 - 00:00,23-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
155,23-Sep-2020 - 00:00,24-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
156,24-Sep-2020 - 00:00,25-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
157,25-Sep-2020 - 00:00,26-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,,,,,,,,,,,,,,,,,,,,,
