,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),(W/mt2),Xylene (ug/m3),RF (mm)
16,07-May-2020 - 00:00,08-May-2020 - 00:00,11.96,16.89,0.92,2.64,1.06,2.69,7.39,0.18,20.42,0.05,0.17,0.02,0.05,0.05,52.14,3.8,150.73,114.85,,0.02
17,08-May-2020 - 00:00,09-May-2020 - 00:00,16.91,25.12,0.95,2.68,1.05,2.78,8.31,0.16,25.12,0.05,0.15,0.01,0.05,0.04,48.57,8.39,185.79,162.86,,0.12
18,09-May-2020 - 00:00,10-May-2020 - 00:00,21.51,32.89,0.94,2.65,1.05,2.7,8.13,0.19,23.53,0.07,0.16,0.01,0.04,0.07,53.08,4.89,142.86,117.5,,0.05
19,10-May-2020 - 00:00,11-May-2020 - 00:00,23.4,34.09,0.95,2.68,1.04,2.8,8.17,0.19,25.1,0.09,0.1,0.02,0.1,0.08,60.73,4.79,159.16,78.35,,0.23
20,11-May-2020 - 00:00,12-May-2020 - 00:00,23.06,33.9,0.9,2.59,1.03,2.66,7.8,0.2,31.07,0.09,0.1,0.01,0.07,0.1,53.73,3.94,145.89,84.7,,0.08
21,12-May-2020 - 00:00,13-May-2020 - 00:00,22.09,31.44,1.0,2.75,1.03,2.87,8.63,0.2,13.3,9.78,9.84,9.72,9.73,9.75,52.81,4.34,154.23,80.89,,0.0
22,13-May-2020 - 00:00,14-May-2020 - 00:00,29.8,42.83,0.91,2.59,1.01,2.66,7.96,0.18,21.08,0.05,0.02,0.03,0.05,0.01,57.25,5.79,174.2,58.7,,0.02
23,14-May-2020 - 00:00,15-May-2020 - 00:00,20.93,31.11,0.74,2.12,0.85,2.2,6.53,0.14,10.97,0.0,0.0,,,,45.52,4.93,131.29,77.84,,0.41
24,15-May-2020 - 00:00,16-May-2020 - 00:00,17.11,25.25,0.66,1.9,0.73,1.97,5.95,0.13,9.04,0.0,0.0,,,,40.34,5.09,107.62,58.68,,0.0
25,16-May-2020 - 00:00,17-May-2020 - 00:00,14.28,23.6,0.61,1.72,0.66,1.78,5.39,0.11,11.79,0.0,0.0,,,,39.76,5.82,111.7,61.64,,0.16
26,17-May-2020 - 00:00,18-May-2020 - 00:00,16.85,30.4,0.94,2.59,0.99,2.67,8.47,0.16,16.27,0.0,0.0,,,,55.48,6.6,159.04,101.73,,0.02
27,18-May-2020 - 00:00,19-May-2020 - 00:00,23.79,44.4,0.89,2.51,0.98,2.58,8.66,0.19,25.64,0.0,0.0,,,,49.59,4.28,157.09,74.07,,0.11
28,19-May-2020 - 00:00,20-May-2020 - 00:00,26.69,49.28,0.98,2.73,1.05,2.82,9.29,0.22,16.04,0.07,0.06,,0.02,,52.74,3.88,135.99,79.35,,0.02
29,20-May-2020 - 00:00,21-May-2020 - 00:00,17.0,25.05,0.93,2.67,1.07,2.74,8.41,0.19,11.68,0.06,0.13,,0.05,,69.52,5.59,96.38,30.66,,1.2
30,21-May-2020 - 00:00,22-May-2020 - 00:00,3.07,4.83,0.87,2.55,1.04,2.64,7.65,0.16,,88.02,88.07,143.33,143.33,143.33,70.11,5.32,78.77,26.07,,1.98
31,22-May-2020 - 00:00,23-May-2020 - 00:00,9.51,13.76,1.0,2.85,1.14,2.93,8.67,0.22,2.74,157.12,157.11,219.77,219.83,219.78,75.18,4.41,145.9,38.27,,0.19
32,23-May-2020 - 00:00,24-May-2020 - 00:00,25.2,40.95,0.96,2.7,1.07,2.82,8.88,0.2,15.65,0.02,0.09,,,,64.58,6.85,163.37,134.85,,0.71
33,24-May-2020 - 00:00,25-May-2020 - 00:00,15.27,23.94,0.94,2.65,1.02,2.74,8.66,0.15,6.01,0.0,0.01,,,,64.56,11.2,164.89,108.22,,0.28
34,25-May-2020 - 00:00,26-May-2020 - 00:00,11.38,19.64,0.97,2.74,1.07,2.83,8.52,0.14,9.96,0.0,0.0,,,,66.61,14.26,174.02,100.72,,2.69
35,26-May-2020 - 00:00,27-May-2020 - 00:00,7.06,11.51,0.96,2.67,1.04,2.74,8.58,0.13,7.82,0.0,0.05,,,,63.73,10.96,177.1,132.05,,1.48
36,27-May-2020 - 00:00,28-May-2020 - 00:00,8.67,13.46,0.97,2.69,1.04,2.74,8.34,0.16,21.78,0.01,0.08,,,,58.1,6.29,156.86,97.7,,1.88
37,28-May-2020 - 00:00,29-May-2020 - 00:00,12.66,19.59,0.93,2.65,1.05,2.73,8.5,0.24,5.15,0.03,0.19,,0.05,0.02,57.8,3.91,137.59,48.94,,0.24
38,29-May-2020 - 00:00,30-May-2020 - 00:00,12.17,16.69,1.02,2.84,1.11,2.92,9.08,0.18,3.66,0.01,0.24,,0.04,0.01,66.94,5.19,158.28,101.68,,0.26
39,30-May-2020 - 00:00,31-May-2020 - 00:00,12.96,20.72,0.96,2.76,1.09,2.82,8.62,0.18,2.47,0.0,0.12,,0.04,,65.14,4.19,153.32,67.54,,0.21
40,31-May-2020 - 00:00,01-Jun-2020 - 00:00,12.69,20.63,0.98,2.81,1.12,2.91,8.99,0.17,9.21,0.0,0.07,,,,68.58,4.36,174.27,75.72,,0.13
41,01-Jun-2020 - 00:00,02-Jun-2020 - 00:00,16.71,29.04,0.97,2.78,1.11,2.91,9.18,0.16,12.05,56.62,56.64,72.2,72.23,72.2,64.31,9.66,186.1,130.26,,0.33
42,02-Jun-2020 - 00:00,03-Jun-2020 - 00:00,19.45,31.54,0.99,2.77,1.08,2.85,9.65,0.15,16.6,0.11,0.27,,0.08,0.02,58.23,10.9,188.01,191.29,,0.33
43,03-Jun-2020 - 00:00,04-Jun-2020 - 00:00,19.24,26.95,0.94,2.59,1.0,2.68,9.66,0.16,13.21,0.23,0.45,0.04,0.22,0.08,55.09,8.03,169.18,108.57,,0.22
44,04-Jun-2020 - 00:00,05-Jun-2020 - 00:00,21.31,30.1,0.99,2.79,1.09,2.89,10.99,0.18,12.08,0.26,0.55,0.11,0.32,0.14,58.97,7.61,161.6,83.3,,0.35
45,05-Jun-2020 - 00:00,06-Jun-2020 - 00:00,11.41,16.85,0.99,2.74,1.05,2.83,10.7,0.15,0.69,0.13,0.65,0.09,0.34,0.14,61.49,6.63,178.27,124.58,,0.56
46,06-Jun-2020 - 00:00,07-Jun-2020 - 00:00,14.39,18.89,1.0,2.73,1.04,2.8,10.52,0.16,2.38,0.2,0.6,0.07,0.34,0.14,66.32,5.63,179.25,88.6,,1.46
47,07-Jun-2020 - 00:00,08-Jun-2020 - 00:00,18.0,25.85,1.05,2.88,1.1,2.93,11.33,0.18,5.5,0.26,0.66,0.09,0.34,0.17,67.13,5.68,181.68,87.21,,0.25
48,08-Jun-2020 - 00:00,09-Jun-2020 - 00:00,24.23,33.27,0.97,2.69,1.04,2.76,10.67,0.21,6.64,0.44,1.09,0.25,0.75,0.24,63.34,3.64,168.5,43.09,,0.0
49,09-Jun-2020 - 00:00,10-Jun-2020 - 00:00,25.45,33.97,0.98,2.74,1.07,2.84,11.03,0.26,0.01,0.51,1.24,0.24,0.86,0.3,60.03,2.87,117.59,92.45,,0.0
50,10-Jun-2020 - 00:00,11-Jun-2020 - 00:00,8.29,12.48,0.95,2.62,1.0,2.73,10.65,0.17,,0.15,0.96,0.17,0.62,0.28,54.69,3.88,114.83,92.92,,0.03
51,11-Jun-2020 - 00:00,12-Jun-2020 - 00:00,4.97,10.83,0.97,2.64,1.0,2.77,10.12,0.17,16.92,0.26,0.9,0.18,0.56,0.23,64.72,2.81,143.02,59.09,,0.31
52,12-Jun-2020 - 00:00,13-Jun-2020 - 00:00,3.87,6.35,0.97,2.73,1.08,2.83,9.42,0.14,21.77,0.01,0.09,0.01,0.06,0.02,69.18,4.29,138.67,85.83,,0.38
53,13-Jun-2020 - 00:00,14-Jun-2020 - 00:00,2.96,5.6,0.92,2.65,1.04,2.72,8.9,0.11,22.88,0.01,0.07,,0.06,0.02,66.25,4.0,138.99,79.82,,0.22
54,14-Jun-2020 - 00:00,15-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,,
55,15-Jun-2020 - 00:00,16-Jun-2020 - 00:00,3.3,9.3,0.88,2.49,0.99,2.56,9.32,0.13,15.87,22.93,22.97,22.92,22.96,22.93,53.33,4.3,151.38,104.45,,0.0
56,16-Jun-2020 - 00:00,17-Jun-2020 - 00:00,4.53,10.58,0.89,2.4,0.87,2.5,9.17,0.12,14.2,0.01,0.16,0.03,0.13,0.04,58.09,2.84,138.22,73.99,,0.15
57,17-Jun-2020 - 00:00,18-Jun-2020 - 00:00,3.24,5.1,1.1,3.08,1.19,3.18,11.27,0.14,27.21,0.01,0.11,0.02,0.08,0.02,79.24,3.94,155.91,107.59,,0.48
58,18-Jun-2020 - 00:00,19-Jun-2020 - 00:00,4.65,7.1,1.12,3.1,1.2,6.22,11.34,0.15,31.75,0.01,0.08,0.02,0.06,0.04,77.91,4.26,158.87,50.91,,0.82
59,19-Jun-2020 - 00:00,20-Jun-2020 - 00:00,11.6,17.29,1.09,3.02,1.16,3.12,11.93,0.21,33.58,0.01,0.11,0.04,0.1,0.04,67.76,3.68,153.32,107.5,,0.01
60,20-Jun-2020 - 00:00,21-Jun-2020 - 00:00,14.34,23.22,1.11,3.02,1.13,3.12,13.82,0.22,28.95,0.01,0.09,0.05,0.13,0.06,72.61,3.4,167.91,129.18,,0.23
61,21-Jun-2020 - 00:00,22-Jun-2020 - 00:00,4.97,8.57,1.08,2.92,1.08,3.04,12.33,0.14,26.05,0.01,0.06,0.03,0.06,0.04,71.96,5.56,160.22,129.51,,0.47
62,22-Jun-2020 - 00:00,23-Jun-2020 - 00:00,8.18,13.18,1.08,2.95,1.12,3.08,12.51,0.15,35.92,0.01,0.07,0.04,0.08,0.04,73.54,3.41,161.89,82.78,,0.15
63,23-Jun-2020 - 00:00,24-Jun-2020 - 00:00,9.84,20.89,1.08,2.97,1.13,3.08,12.62,0.13,42.63,0.01,0.03,0.04,0.05,0.04,69.8,8.55,175.79,142.21,,0.04
64,24-Jun-2020 - 00:00,25-Jun-2020 - 00:00,10.63,16.3,1.12,3.07,1.14,3.2,10.64,0.14,27.19,0.01,0.03,0.03,0.04,0.03,72.17,9.09,206.77,133.54,,0.14
65,25-Jun-2020 - 00:00,26-Jun-2020 - 00:00,9.2,15.82,1.08,2.95,1.11,3.03,5.43,0.12,11.77,0.01,0.02,0.02,0.02,0.03,69.72,10.97,182.55,94.66,,2.6
66,26-Jun-2020 - 00:00,27-Jun-2020 - 00:00,6.31,9.09,1.07,3.01,1.17,3.09,4.9,0.11,10.64,0.01,0.02,0.02,0.03,0.02,72.7,11.87,175.66,33.13,,3.59
67,27-Jun-2020 - 00:00,28-Jun-2020 - 00:00,9.59,9.86,0.99,2.91,1.16,2.95,4.84,0.17,26.24,0.01,0.05,0.02,0.03,0.02,78.12,7.12,180.75,3.71,,2.52
68,28-Jun-2020 - 00:00,29-Jun-2020 - 00:00,13.87,21.26,1.07,3.08,1.25,3.17,4.98,0.17,35.12,0.01,0.04,0.03,0.03,0.03,76.56,7.33,195.05,73.68,,0.98
69,29-Jun-2020 - 00:00,30-Jun-2020 - 00:00,9.94,14.01,1.08,3.05,1.2,3.13,5.31,0.18,9.68,0.02,0.13,0.11,0.21,0.06,74.75,3.75,166.17,87.15,,0.2
70,30-Jun-2020 - 00:00,01-Jul-2020 - 00:00,14.64,21.24,1.0,2.84,1.12,2.95,5.03,0.2,7.09,0.02,0.14,0.06,0.16,0.03,68.65,3.8,156.67,45.48,,0.36
71,01-Jul-2020 - 00:00,02-Jul-2020 - 00:00,14.3,22.03,1.11,3.05,1.17,3.1,4.89,0.14,16.21,0.01,0.02,0.01,0.02,0.02,64.95,7.91,183.54,121.86,,0.0
72,02-Jul-2020 - 00:00,03-Jul-2020 - 00:00,11.95,15.78,1.07,2.94,1.1,3.05,4.06,0.13,12.51,0.01,0.04,0.02,0.05,0.03,62.44,6.83,171.81,63.18,,0.17
73,03-Jul-2020 - 00:00,04-Jul-2020 - 00:00,12.28,17.09,1.05,2.84,1.05,2.92,4.12,0.19,9.46,0.02,0.12,0.05,0.12,0.05,70.67,4.9,153.7,65.6,,0.26
74,04-Jul-2020 - 00:00,05-Jul-2020 - 00:00,10.87,14.28,1.05,2.93,1.12,3.05,4.22,0.17,0.81,0.01,0.12,0.04,0.12,0.04,71.77,4.08,163.1,62.4,,0.14
75,05-Jul-2020 - 00:00,06-Jul-2020 - 00:00,3.32,6.13,1.1,2.99,1.12,3.08,4.5,0.12,2.29,0.01,0.06,0.02,0.04,0.03,74.48,3.43,168.16,98.06,,0.16
76,06-Jul-2020 - 00:00,07-Jul-2020 - 00:00,2.61,3.86,1.05,2.85,1.06,2.94,4.88,0.11,3.46,0.01,0.05,0.05,0.07,0.03,70.04,4.31,151.82,167.97,,0.37
77,07-Jul-2020 - 00:00,08-Jul-2020 - 00:00,2.38,4.07,0.99,2.65,0.96,2.75,4.59,0.11,1.26,0.01,0.05,0.02,0.06,0.03,67.56,3.17,141.84,90.43,,0.06
78,08-Jul-2020 - 00:00,09-Jul-2020 - 00:00,3.71,6.06,1.08,2.92,1.08,3.05,5.33,0.11,7.48,0.01,0.04,0.06,0.08,0.03,70.18,5.47,173.61,124.84,,0.0
79,09-Jul-2020 - 00:00,10-Jul-2020 - 00:00,4.12,6.19,1.0,2.77,1.06,2.82,4.39,0.12,15.15,0.01,0.03,0.02,0.03,0.02,71.05,6.3,162.96,22.0,,3.61
80,10-Jul-2020 - 00:00,11-Jul-2020 - 00:00,5.47,7.6,1.03,2.94,1.17,3.04,3.88,0.12,25.27,0.01,0.03,0.02,0.03,0.02,67.55,9.11,162.72,35.24,,3.3
81,11-Jul-2020 - 00:00,12-Jul-2020 - 00:00,2.93,5.7,0.96,2.78,1.12,2.88,3.71,0.14,19.23,0.02,0.07,0.03,0.04,0.04,53.95,4.14,118.87,44.0,,1.49
82,12-Jul-2020 - 00:00,13-Jul-2020 - 00:00,5.6,7.64,1.02,2.87,1.12,3.0,3.89,0.13,34.69,0.01,0.04,0.02,0.04,0.03,76.12,8.23,177.46,31.49,,1.11
83,13-Jul-2020 - 00:00,14-Jul-2020 - 00:00,10.97,14.47,1.02,2.85,1.11,2.92,3.96,0.15,18.26,0.01,0.05,0.02,0.04,0.03,70.81,4.26,159.95,44.31,,0.58
84,14-Jul-2020 - 00:00,15-Jul-2020 - 00:00,7.45,13.87,1.01,2.78,1.03,2.89,4.45,0.13,6.6,0.01,0.05,0.03,0.04,0.02,67.46,2.77,157.39,95.56,,0.02
85,15-Jul-2020 - 00:00,16-Jul-2020 - 00:00,5.75,9.03,1.02,2.79,1.03,2.88,4.88,0.14,0.49,0.01,0.07,0.02,0.06,0.03,67.16,3.71,164.25,99.58,,0.03
86,16-Jul-2020 - 00:00,17-Jul-2020 - 00:00,4.56,6.02,0.96,2.6,0.95,2.69,4.49,0.1,13.09,0.01,0.03,0.01,0.03,0.02,63.47,7.01,161.52,88.15,,0.24
87,17-Jul-2020 - 00:00,18-Jul-2020 - 00:00,2.74,4.09,0.93,2.57,0.97,2.68,4.2,0.08,11.03,0.01,0.03,0.03,0.04,0.03,60.52,8.24,167.37,100.79,,0.0
88,18-Jul-2020 - 00:00,19-Jul-2020 - 00:00,3.26,,0.89,2.42,0.9,2.52,3.6,0.08,12.97,0.01,0.02,0.02,0.02,0.02,58.8,9.3,160.5,103.51,,0.81
89,19-Jul-2020 - 00:00,20-Jul-2020 - 00:00,5.98,,1.04,2.91,1.14,3.01,3.82,0.13,10.24,0.01,0.03,0.02,0.02,0.02,77.39,5.91,178.14,49.61,,1.31
90,20-Jul-2020 - 00:00,21-Jul-2020 - 00:00,4.54,,1.06,2.92,1.12,3.05,3.56,0.16,21.42,0.01,0.08,0.03,0.06,0.02,79.99,7.19,183.4,25.35,,2.68
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,4.1,,1.0,2.94,1.2,3.04,3.22,0.13,22.4,0.01,0.03,0.03,0.03,0.03,75.59,9.5,169.8,24.09,,1.93
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,5.83,16.42,0.92,2.64,1.06,2.74,3.33,0.18,7.23,0.01,0.08,0.02,0.04,0.03,67.31,2.31,145.33,44.27,,0.55
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,4.07,7.1,0.85,2.36,0.87,2.45,3.68,0.09,8.47,0.01,0.05,0.02,0.03,0.04,50.67,2.58,94.65,55.33,,0.0
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,4.59,7.83,0.89,2.44,0.9,2.5,4.1,0.1,2.4,0.01,0.03,0.02,0.03,0.02,52.39,2.83,126.7,64.52,,0.09
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,5.97,9.17,0.68,1.89,0.68,1.96,3.28,0.09,2.75,0.01,0.04,0.01,0.03,0.02,38.9,2.03,90.95,44.88,,0.03
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,9.69,14.3,0.86,2.4,0.86,2.45,4.1,0.12,11.21,0.01,0.05,0.02,0.04,0.02,50.4,2.82,128.55,48.4,,0.03
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,12.55,16.79,0.92,2.53,0.95,2.64,4.45,0.15,9.69,0.01,0.04,0.02,0.03,0.02,56.77,2.27,138.03,27.77,,0.18
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,12.74,17.1,0.84,2.34,0.86,2.39,4.03,0.14,4.65,0.01,0.05,0.02,0.03,0.02,52.08,1.9,114.58,32.6,,0.05
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,6.45,9.56,0.79,2.19,0.82,2.25,3.61,0.1,7.96,0.01,0.03,0.02,0.03,0.02,48.44,2.35,112.34,30.04,,0.12
100,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,14.05,19.93,0.87,2.48,0.99,2.55,7.95,0.16,20.46,0.01,0.06,0.02,0.02,0.02,41.42,4.46,103.07,97.36,,0.0
101,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,7.86,11.02,0.86,2.52,1.03,2.58,7.73,0.12,19.05,0.0,0.01,,,,38.05,4.71,107.25,105.42,,0.0
102,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,8.95,13.61,0.9,2.62,1.07,2.67,9.15,0.16,30.07,0.01,0.02,0.01,0.03,0.01,28.59,5.61,118.76,110.7,,0.0
103,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,5.89,10.12,0.9,2.62,1.05,2.68,7.95,0.14,21.28,0.02,0.03,0.02,0.04,0.03,36.9,5.22,118.52,106.39,,0.0
104,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,5.84,9.86,0.78,2.27,0.83,2.32,6.99,0.12,11.34,0.0,0.01,,0.02,,38.75,3.61,90.4,106.9,,0.0
105,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,10.13,15.56,0.68,2.0,0.72,2.06,6.73,0.13,12.88,0.0,0.01,,0.02,0.01,35.13,3.0,97.95,72.04,,0.0
106,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,6.44,13.45,0.95,2.73,1.09,2.75,8.88,0.15,27.88,0.0,0.0,0.01,0.03,,32.43,3.93,144.77,106.64,,0.0
107,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,7.58,12.5,0.85,2.43,0.77,2.53,8.42,0.13,20.24,0.0,0.02,0.01,0.02,0.01,35.06,5.23,121.92,85.78,,0.0
108,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,7.68,10.75,0.94,2.72,1.1,2.79,10.58,0.15,23.83,0.01,0.02,0.01,0.02,0.02,36.74,6.59,135.86,105.03,,0.0
109,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,5.95,12.19,0.84,2.42,0.97,2.51,8.64,0.14,18.5,0.0,0.01,,,,33.87,5.19,124.06,92.52,,0.0
110,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,18.09,31.84,0.91,2.7,1.11,2.77,8.5,0.19,37.95,0.01,0.01,0.01,0.02,0.02,54.53,6.97,174.81,68.88,,0.0
111,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,22.95,35.39,0.96,2.83,1.17,2.91,8.72,0.22,36.17,0.01,0.02,0.01,0.03,0.01,51.09,5.08,171.1,93.05,,0.0
112,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,37.43,54.04,0.98,2.9,1.19,2.97,9.37,0.26,49.72,0.0,0.02,0.01,0.04,0.02,63.15,5.84,205.92,71.39,,0.0
113,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,38.56,53.99,0.96,2.92,1.26,2.99,8.62,0.29,51.05,0.01,0.03,0.01,0.03,0.02,62.08,6.03,193.56,71.95,,0.0
114,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,43.5,56.8,0.98,2.95,1.22,2.95,8.84,0.26,52.9,0.0,0.02,,0.01,,61.26,6.36,189.07,69.9,,0.0
115,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,42.15,,0.91,2.85,1.24,2.91,7.56,0.28,50.27,0.01,0.02,0.02,0.02,0.02,55.54,6.82,157.61,94.2,,0.0
116,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,35.96,,0.89,2.69,1.15,2.76,6.97,0.24,29.85,0.01,0.02,0.02,0.02,0.02,57.2,3.66,102.18,83.39,,0.0
117,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,17.05,34.37,0.92,2.8,1.18,2.91,7.61,0.21,22.09,0.0,0.02,0.02,0.03,0.01,40.7,4.33,141.95,94.76,,0.0
118,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,2.51,25.2,0.96,2.86,1.15,2.9,8.75,0.19,20.81,0.0,0.01,0.02,0.02,0.01,36.7,3.8,153.22,100.77,,0.0
119,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,10.61,17.83,0.95,2.88,1.22,2.96,8.76,0.21,27.37,0.01,0.02,0.02,0.03,0.02,31.36,3.41,140.48,98.49,,0.0
120,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,13.86,28.19,0.98,2.92,1.23,2.95,9.32,0.19,31.38,0.01,0.02,0.02,0.03,0.02,31.91,4.05,168.11,62.78,,0.0
121,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,14.53,24.4,0.93,2.73,1.14,2.83,9.49,0.18,27.26,0.01,0.03,0.02,0.03,0.03,39.84,4.29,158.58,77.82,,0.0
122,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,14.51,22.63,0.98,2.84,1.16,2.91,10.16,0.19,23.1,0.01,0.01,0.02,0.03,0.03,44.01,4.09,147.29,102.61,,0.0
123,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,8.46,15.39,1.0,2.93,1.19,2.98,10.21,0.12,24.5,0.0,0.02,0.02,0.03,0.02,36.88,5.27,161.52,98.96,,0.0
124,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,7.48,15.01,0.9,2.73,1.15,2.79,8.82,0.01,24.28,0.0,0.01,,0.03,,39.04,5.03,145.0,84.13,,0.0
125,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,7.28,12.08,0.67,2.01,0.83,2.06,5.82,0.06,17.15,0.0,0.01,,0.01,,32.61,3.3,116.82,65.47,,0.0
126,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,13.16,19.89,0.52,1.65,0.71,1.67,4.74,0.0,10.83,4.86,4.86,4.87,4.87,4.86,30.83,1.96,78.11,12.2,,0.0
127,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,20.68,28.92,0.66,2.07,0.89,2.12,5.89,0.0,18.06,293.37,293.37,369.95,369.95,369.95,36.6,1.91,92.34,8.79,,0.0
128,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,28.09,38.47,0.8,2.47,1.07,2.5,6.75,0.0,18.16,394.83,394.83,448.41,448.41,448.41,40.77,1.9,99.99,8.94,,0.0
129,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,16.79,23.31,0.8,2.59,1.17,2.6,6.6,0.0,39.14,470.84,468.15,468.15,468.15,468.15,52.95,4.17,155.22,1.04,,0.0
130,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,,
131,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,25.78,36.26,0.62,1.94,0.85,1.97,4.81,0.13,3.77,37.87,37.87,37.87,37.87,37.87,41.96,2.2,80.44,24.72,,0.0
